Code,Crime Desc.,Key
2622,Other,Other
2623,Other,Other
2631,Other,Other
2641,Other,Other
2647,Other,Other
2657,Other,Other
2660,Other,Other
2663,Other,Other
2664,Other,Other
2900,Other,Other
3102,Other,Other
3170,Other,Other
3620,Other,Other
3625,Other,Other
560,Other Burglary,Burglary
561,Other Burglary,Burglary
562,Other Burglary,Burglary
2628,Phone Call Complaints,Verbal
3109,Police Service Incidents,Other
3110,Police Service Incidents,Other
3403,Police Service Incidents,Other
2606,Prisoner Related Incidents,Other
2619,Prisoner Related Incidents,Other
2636,Prisoner Related Incidents,Other
3029,Prisoner Related Incidents,Other
3202,Property Found,Property
3207,Property Found,Property
3201,Property Lost,Property
3208,Property Lost,Property
3106,Property Related Damage,Property
1601,Prostitution,Other
1602,Prostitution,Other
1603,Prostitution,Other
1605,Prostitution,Other
1300,Recovered Stolen Property,Burglary
1302,Recovered Stolen Property,Burglary
1304,Recovered Stolen Property,Burglary
511,Residential Burglary,Burglary
520,Residential Burglary,Burglary
521,Residential Burglary,Burglary
522,Residential Burglary,Burglary
2006,Restraining Order Violations,Other
2007,Restraining Order Violations,Other
301,Robbery,Robbery
311,Robbery,Robbery
315,Robbery,Robbery
334,Robbery,Robbery
335,Robbery,Robbery
338,Robbery,Robbery
339,Robbery,Robbery
349,Robbery,Robbery
351,Robbery,Robbery
361,Robbery,Robbery
371,Robbery,Robbery
381,Robbery,Robbery
3130,Search Warrants,Warrant
3402,Service,Other
801,Simple Assault,Violence
802,Simple Assault,Violence
803,Simple Assault,Violence
804,Simple Assault,Violence
3410,Towed,Towed
1402,Vandalism,Vandalism
1415,Vandalism,Vandalism
3301,Verbal Disputes,Verbal
2905,Violations,Other
2906,Violations,Other
2907,Violations,Other
2910,Violations,Other
2914,Violations,Other
3125,Warrant Arrests,Warrant
